"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/1999","1,469.20","1,464.50","1,472.40","1,463.40","","0.32%"
"12/30/1999","1,464.50","1,463.50","1,473.10","1,462.60","","0.07%"
"12/29/1999","1,463.50","1,457.70","1,466.00","1,457.70","","0.40%"
"12/28/1999","1,457.70","1,457.10","1,462.70","1,452.70","","0.04%"
"12/27/1999","1,457.10","1,458.30","1,463.10","1,450.70","","-0.08%"
"12/23/1999","1,458.30","1,436.10","1,461.40","1,436.10","","1.55%"
"12/22/1999","1,436.10","1,433.40","1,440.20","1,429.20","","0.19%"
"12/21/1999","1,433.40","1,418.10","1,436.50","1,414.90","","1.08%"
"12/20/1999","1,418.10","1,421.00","1,429.20","1,411.00","","-0.20%"
"12/17/1999","1,421.00","1,418.80","1,431.10","1,418.80","","0.16%"
"12/16/1999","1,418.80","1,413.30","1,421.90","1,408.40","","0.39%"
"12/15/1999","1,413.30","1,403.20","1,417.40","1,396.20","","0.72%"
"12/14/1999","1,403.20","1,415.20","1,418.40","1,401.60","","-0.85%"
"12/13/1999","1,415.20","1,417.00","1,421.50","1,410.10","","-0.13%"
"12/10/1999","1,417.00","1,408.10","1,421.60","1,405.60","","0.63%"
"12/09/1999","1,408.10","1,403.90","1,418.40","1,391.50","","0.30%"
"12/08/1999","1,403.90","1,409.20","1,415.70","1,403.80","","-0.38%"
"12/07/1999","1,409.20","1,423.30","1,426.60","1,409.20","","-0.99%"
"12/06/1999","1,423.30","1,433.30","1,434.20","1,418.20","","-0.70%"
"12/03/1999","1,433.30","1,409.00","1,447.40","1,409.00","","1.72%"
"12/02/1999","1,409.00","1,397.70","1,409.00","1,397.70","","0.81%"
"12/01/1999","1,397.70","1,388.90","1,400.00","1,387.50","","0.63%"
"11/30/1999","1,388.90","1,407.80","1,410.60","1,387.00","","-1.34%"
"11/29/1999","1,407.80","1,416.60","1,416.60","1,404.20","","-0.62%"
"11/26/1999","1,416.60","1,417.10","1,425.20","1,416.10","","-0.04%"
"11/24/1999","1,417.10","1,404.60","1,419.70","1,399.20","","0.89%"
"11/23/1999","1,404.60","1,420.90","1,423.90","1,402.20","","-1.15%"
"11/22/1999","1,420.90","1,422.00","1,425.00","1,412.40","","-0.08%"
"11/19/1999","1,422.00","1,424.90","1,424.90","1,417.50","","-0.20%"
"11/18/1999","1,424.90","1,410.70","1,425.30","1,410.70","","1.01%"
"11/17/1999","1,410.70","1,420.10","1,423.40","1,410.50","","-0.66%"
"11/16/1999","1,420.10","1,394.40","1,420.40","1,394.40","","1.84%"
"11/15/1999","1,394.40","1,396.10","1,398.60","1,392.30","","-0.12%"
"11/12/1999","1,396.10","1,381.50","1,396.10","1,368.50","","1.06%"
"11/11/1999","1,381.50","1,373.50","1,382.10","1,372.20","","0.58%"
"11/10/1999","1,373.50","1,365.30","1,379.20","1,360.00","","0.60%"
"11/09/1999","1,365.30","1,377.00","1,383.80","1,361.50","","-0.85%"
"11/08/1999","1,377.00","1,370.20","1,380.80","1,365.90","","0.50%"
"11/05/1999","1,370.20","1,362.60","1,387.50","1,362.60","","0.56%"
"11/04/1999","1,362.60","1,354.90","1,369.40","1,354.90","","0.57%"
"11/03/1999","1,354.90","1,347.70","1,360.30","1,347.70","","0.53%"
"11/02/1999","1,347.70","1,354.10","1,369.30","1,346.40","","-0.47%"
"11/01/1999","1,354.10","1,362.90","1,367.30","1,354.00","","-0.65%"
"10/29/1999","1,362.90","1,342.40","1,373.20","1,342.40","","1.53%"
"10/28/1999","1,342.40","1,296.70","1,342.50","1,296.70","","3.52%"
"10/27/1999","1,296.70","1,281.90","1,299.40","1,280.50","","1.15%"
"10/26/1999","1,281.90","1,293.60","1,303.50","1,281.90","","-0.90%"
"10/25/1999","1,293.60","1,301.70","1,301.70","1,286.10","","-0.62%"
"10/22/1999","1,301.70","1,283.60","1,308.80","1,283.60","","1.41%"
"10/21/1999","1,283.60","1,289.40","1,289.40","1,265.60","","-0.45%"
"10/20/1999","1,289.40","1,261.30","1,289.40","1,261.30","","2.23%"
"10/19/1999","1,261.30","1,254.10","1,279.30","1,254.10","","0.57%"
"10/18/1999","1,254.10","1,247.40","1,254.20","1,233.70","","0.54%"
"10/15/1999","1,247.40","1,283.40","1,283.40","1,245.40","","-2.81%"
"10/14/1999","1,283.40","1,285.50","1,289.60","1,267.60","","-0.16%"
"10/13/1999","1,285.50","1,313.00","1,313.00","1,282.80","","-2.09%"
"10/12/1999","1,313.00","1,335.20","1,335.20","1,311.80","","-1.66%"
"10/11/1999","1,335.20","1,336.00","1,344.30","1,324.40","","-0.06%"
"10/08/1999","1,336.00","1,317.60","1,336.60","1,311.90","","1.40%"
"10/07/1999","1,317.60","1,325.40","1,328.00","1,314.10","","-0.59%"
"10/06/1999","1,325.40","1,301.30","1,325.50","1,300.40","","1.85%"
"10/05/1999","1,301.30","1,304.60","1,316.40","1,286.40","","-0.25%"
"10/04/1999","1,304.60","1,282.80","1,304.60","1,282.80","","1.70%"
"10/01/1999","1,282.80","1,282.70","1,283.20","1,265.80","","0.01%"
"09/30/1999","1,282.70","1,268.40","1,291.30","1,268.40","","1.13%"
"09/29/1999","1,268.40","1,282.20","1,288.80","1,268.20","","-1.08%"
"09/28/1999","1,282.20","1,283.30","1,285.50","1,256.30","","-0.09%"
"09/27/1999","1,283.30","1,277.40","1,295.00","1,277.40","","0.46%"
"09/24/1999","1,277.40","1,280.40","1,281.20","1,263.80","","-0.23%"
"09/23/1999","1,280.40","1,310.50","1,315.20","1,277.30","","-2.30%"
"09/22/1999","1,310.50","1,307.60","1,316.20","1,297.80","","0.22%"
"09/21/1999","1,307.60","1,335.50","1,335.50","1,302.00","","-2.09%"
"09/20/1999","1,335.50","1,335.40","1,338.40","1,330.60","","0.01%"
"09/17/1999","1,335.40","1,318.50","1,337.60","1,318.50","","1.28%"
"09/16/1999","1,318.50","1,318.00","1,322.50","1,300.00","","0.04%"
"09/15/1999","1,318.00","1,336.30","1,347.20","1,318.00","","-1.37%"
"09/14/1999","1,336.30","1,344.10","1,344.20","1,330.60","","-0.58%"
"09/13/1999","1,344.10","1,351.70","1,351.70","1,341.70","","-0.56%"
"09/10/1999","1,351.70","1,347.70","1,357.70","1,346.10","","0.30%"
"09/09/1999","1,347.70","1,344.20","1,347.70","1,333.90","","0.26%"
"09/08/1999","1,344.20","1,343.40","1,355.20","1,337.40","","-0.47%"
"09/07/1999","1,350.50","1,357.20","1,361.30","1,349.60","","-0.49%"
"09/03/1999","1,357.20","1,319.10","1,357.70","1,319.10","","2.89%"
"09/02/1999","1,319.10","1,331.10","1,331.10","1,304.90","","-0.90%"
"09/01/1999","1,331.10","1,320.40","1,331.20","1,320.40","","0.81%"
"08/31/1999","1,320.40","1,324.00","1,333.30","1,307.00","","-0.27%"
"08/30/1999","1,324.00","1,348.30","1,350.70","1,322.80","","-1.80%"
"08/27/1999","1,348.30","1,362.00","1,365.60","1,347.30","","-1.01%"
"08/26/1999","1,362.00","1,381.80","1,381.80","1,361.50","","-1.43%"
"08/25/1999","1,381.80","1,363.50","1,382.80","1,359.20","","1.34%"
"08/24/1999","1,363.50","1,360.20","1,373.30","1,353.60","","0.24%"
"08/23/1999","1,360.20","1,336.60","1,360.20","1,336.60","","1.77%"
"08/20/1999","1,336.60","1,323.60","1,336.60","1,323.60","","0.98%"
"08/19/1999","1,323.60","1,332.80","1,332.80","1,315.30","","-0.69%"
"08/18/1999","1,332.80","1,344.20","1,344.20","1,332.10","","-0.85%"
"08/17/1999","1,344.20","1,330.80","1,344.20","1,328.80","","1.01%"
