"Date","Price","Open","High","Low","Vol.","Change %"
"12/19/2022","1,032.85","1,032.85","1,032.85","1,032.85","","-1.55%"
"12/16/2022","1,049.13","1,049.13","1,049.13","1,049.13","","-0.51%"
"12/15/2022","1,054.46","1,054.46","1,054.46","1,054.46","","0.44%"
"12/14/2022","1,049.85","1,049.85","1,049.85","1,049.85","","-0.13%"
"12/13/2022","1,051.26","1,051.26","1,051.26","1,051.26","","1.59%"
"12/12/2022","1,034.78","1,034.78","1,034.78","1,034.78","","-2.77%"
"12/09/2022","1,064.21","1,064.21","1,064.21","1,064.21","","-0.04%"
"12/08/2022","1,064.60","1,064.60","1,064.60","1,064.60","","0.98%"
"12/07/2022","1,054.22","1,054.22","1,054.22","1,054.22","","-0.13%"
"12/06/2022","1,055.62","1,055.62","1,055.62","1,055.62","","-4.43%"
"12/05/2022","1,104.55","1,104.55","1,104.55","1,104.55","","1.51%"
"12/02/2022","1,088.14","1,088.14","1,088.14","1,088.14","","4.92%"
"12/01/2022","1,037.08","1,037.08","1,037.08","1,037.08","","-1.40%"
"11/30/2022","1,051.81","1,051.81","1,051.81","1,051.81","","2.18%"
"11/29/2022","1,029.39","1,029.39","1,029.39","1,029.39","","3.45%"
"11/28/2022","995.04","995.04","995.04","995.04","","3.94%"
"11/25/2022","957.34","957.34","957.34","957.34","","3.27%"
"11/24/2022","927.01","927.01","927.01","927.01","","0.22%"
"11/23/2022","924.96","924.96","924.96","924.96","","-1.06%"
"11/22/2022","934.87","934.87","934.87","934.87","","-1.21%"
"11/21/2022","946.35","946.35","946.35","946.35","","-1.27%"
"11/18/2022","958.50","958.50","958.50","958.50","","0.26%"
"11/17/2022","956.02","956.02","956.02","956.02","","3.72%"
"11/16/2022","921.74","921.74","921.74","921.74","","3.66%"
"11/15/2022","889.21","889.21","889.21","889.21","","-2.68%"
"11/14/2022","913.67","913.67","913.67","913.67","","-1.43%"
"11/11/2022","926.89","926.89","926.89","926.89","","0.77%"
"11/10/2022","919.85","919.85","919.85","919.85","","-4.38%"
"11/09/2022","961.94","961.94","961.94","961.94","","-0.17%"
"11/08/2022","963.56","963.56","963.56","963.56","","0.31%"
"11/07/2022","960.63","960.63","960.63","960.63","","-2.84%"
"11/04/2022","988.67","988.67","988.67","988.67","","-2.75%"
"11/03/2022","1,016.59","1,016.59","1,016.59","1,016.59","","0.04%"
"11/02/2022","1,016.23","1,016.23","1,016.23","1,016.23","","-1.32%"
"11/01/2022","1,029.84","1,029.84","1,029.84","1,029.84","","0.53%"
"10/31/2022","1,024.36","1,024.36","1,024.36","1,024.36","","-0.38%"
"10/28/2022","1,028.29","1,028.29","1,028.29","1,028.29","","0.01%"
"10/27/2022","1,028.21","1,028.21","1,028.21","1,028.21","","3.43%"
"10/26/2022","994.16","994.16","994.16","994.16","","-0.75%"
"10/25/2022","1,001.70","1,001.70","1,001.70","1,001.70","","1.13%"
"10/24/2022","990.48","990.48","990.48","990.48","","-3.76%"
"10/21/2022","1,029.17","1,029.17","1,029.17","1,029.17","","-4.36%"
"10/20/2022","1,076.11","1,076.11","1,076.11","1,076.11","","-0.39%"
"10/19/2022","1,080.37","1,080.37","1,080.37","1,080.37","","-0.52%"
"10/18/2022","1,085.98","1,085.98","1,085.98","1,085.98","","1.17%"
"10/17/2022","1,073.41","1,073.41","1,073.41","1,073.41","","-1.11%"
"10/14/2022","1,085.46","1,085.46","1,085.46","1,085.46","","0.87%"
"10/13/2022","1,076.09","1,076.09","1,076.09","1,076.09","","1.17%"
"10/12/2022","1,063.63","1,063.63","1,063.63","1,063.63","","3.01%"
"10/11/2022","1,032.51","1,032.51","1,032.51","1,032.51","","-3.44%"
"10/10/2022","1,069.28","1,069.28","1,069.28","1,069.28","","0.78%"
"10/07/2022","1,061.00","1,061.00","1,061.00","1,061.00","","-3.22%"
"10/06/2022","1,096.25","1,096.25","1,096.25","1,096.25","","-3.31%"
"10/05/2022","1,133.81","1,133.81","1,133.81","1,133.81","","2.80%"
"10/04/2022","1,102.97","1,102.97","1,102.97","1,102.97","","-0.71%"
"10/03/2022","1,110.89","1,110.89","1,110.89","1,110.89","","-4.36%"
"09/30/2022","1,161.53","1,161.53","1,161.53","1,161.53","","0.51%"
"09/29/2022","1,155.66","1,155.66","1,155.66","1,155.66","","-1.57%"
"09/28/2022","1,174.05","1,174.05","1,174.05","1,174.05","","-2.17%"
"09/27/2022","1,200.14","1,200.14","1,200.14","1,200.14","","-0.90%"
"09/26/2022","1,211.08","1,211.08","1,211.08","1,211.08","","-2.73%"
"09/23/2022","1,245.09","1,245.09","1,245.09","1,245.09","","-1.11%"
"09/22/2022","1,259.06","1,259.06","1,259.06","1,259.06","","0.27%"
"09/21/2022","1,255.64","1,255.64","1,255.64","1,255.64","","-0.84%"
"09/20/2022","1,266.26","1,266.26","1,266.26","1,266.26","","1.24%"
"09/19/2022","1,250.70","1,250.70","1,250.70","1,250.70","","-2.31%"
"09/16/2022","1,280.28","1,280.28","1,280.28","1,280.28","","-1.01%"
"09/15/2022","1,293.34","1,293.34","1,293.34","1,293.34","","0.16%"
"09/14/2022","1,291.28","1,291.28","1,291.28","1,291.28","","-0.58%"
"09/13/2022","1,298.77","1,298.77","1,298.77","1,298.77","","-0.22%"
