"Date","Price","Open","High","Low","Vol.","Change %"
"12/20/2022","340.76","340.76","340.76","340.76","","-1.61%"
"12/19/2022","346.35","346.35","346.35","346.35","","-1.65%"
"12/16/2022","352.16","352.16","352.16","352.16","","-0.89%"
"12/15/2022","355.31","355.31","355.31","355.31","","-0.12%"
"12/14/2022","355.72","355.72","355.72","355.72","","-0.10%"
"12/13/2022","356.09","356.09","356.09","356.09","","1.66%"
"12/12/2022","350.27","350.27","350.27","350.27","","-3.54%"
"12/09/2022","363.11","363.11","363.11","363.11","","-0.45%"
"12/08/2022","364.74","364.74","364.74","364.74","","0.07%"
"12/07/2022","364.47","364.47","364.47","364.47","","0.21%"
"12/06/2022","363.72","363.72","363.72","363.72","","-4.42%"
"12/05/2022","380.53","380.53","380.53","380.53","","1.46%"
"12/02/2022","375.06","375.06","375.06","375.06","","5.17%"
"12/01/2022","356.63","356.63","356.63","356.63","","-2.29%"
"11/30/2022","364.99","364.99","364.99","364.99","","2.22%"
"11/29/2022","357.05","357.05","357.05","357.05","","4.30%"
"11/28/2022","342.33","342.33","342.33","342.33","","3.63%"
"11/25/2022","330.35","330.35","330.35","330.35","","3.74%"
"11/24/2022","318.45","318.45","318.45","318.45","","0.71%"
"11/23/2022","316.19","316.19","316.19","316.19","","-1.65%"
"11/22/2022","321.48","321.48","321.48","321.48","","-1.85%"
"11/21/2022","327.54","327.54","327.54","327.54","","-1.48%"
"11/18/2022","332.46","332.46","332.46","332.46","","0.19%"
"11/17/2022","331.83","331.83","331.83","331.83","","4.35%"
"11/16/2022","318.01","318.01","318.01","318.01","","2.81%"
"11/15/2022","309.32","309.32","309.32","309.32","","-1.26%"
"11/14/2022","313.26","313.26","313.26","313.26","","-0.48%"
"11/11/2022","314.77","314.77","314.77","314.77","","0.80%"
"11/10/2022","312.28","312.28","312.28","312.28","","-4.17%"
"11/09/2022","325.86","325.86","325.86","325.86","","-0.53%"
"11/08/2022","327.60","327.60","327.60","327.60","","-0.36%"
"11/07/2022","328.80","328.80","328.80","328.80","","-2.36%"
"11/04/2022","336.73","336.73","336.73","336.73","","-2.74%"
"11/03/2022","346.21","346.21","346.21","346.21","","-0.08%"
"11/02/2022","346.50","346.50","346.50","346.50","","-1.33%"
"11/01/2022","351.18","351.18","351.18","351.18","","0.60%"
"10/31/2022","349.07","349.07","349.07","349.07","","-0.48%"
"10/28/2022","350.77","350.77","350.77","350.77","","-0.16%"
"10/27/2022","351.33","351.33","351.33","351.33","","2.90%"
"10/26/2022","341.44","341.44","341.44","341.44","","-1.13%"
"10/25/2022","345.35","345.35","345.35","345.35","","1.00%"
"10/24/2022","341.93","341.93","341.93","341.93","","-3.61%"
"10/21/2022","354.73","354.73","354.73","354.73","","-3.97%"
"10/20/2022","369.41","369.41","369.41","369.41","","-0.36%"
"10/19/2022","370.74","370.74","370.74","370.74","","-0.83%"
