"Date","Price","Open","High","Low","Vol.","Change %"
"12/20/2022","12,900.0","13,800.0","13,800.0","12,850.0","20.72M","-6.52%"
"12/19/2022","13,800.0","14,500.0","14,900.0","13,750.0","7.98M","-4.83%"
"12/16/2022","14,500.0","14,000.0","15,000.0","13,950.0","11.71M","1.05%"
"12/15/2022","14,350.0","15,000.0","15,200.0","14,100.0","10.49M","-4.33%"
"12/14/2022","15,000.0","15,750.0","15,750.0","14,900.0","7.51M","-3.23%"
"12/13/2022","15,500.0","15,400.0","15,500.0","14,450.0","16.52M","0.00%"
"12/12/2022","15,500.0","17,000.0","17,350.0","15,500.0","16.62M","-6.06%"
"12/09/2022","16,500.0","16,450.0","16,550.0","15,650.0","13.07M","-0.60%"
"12/08/2022","16,600.0","16,300.0","16,900.0","14,800.0","16.21M","5.06%"
"12/07/2022","15,800.0","15,000.0","15,800.0","14,450.0","25.51M","1.94%"
"12/06/2022","15,500.0","16,650.0","17,050.0","15,500.0","43.72M","-6.91%"
"12/05/2022","16,650.0","16,500.0","16,650.0","15,500.0","35.61M","6.73%"
"12/02/2022","15,600.0","15,600.0","15,600.0","14,100.0","48.90M","6.85%"
"12/01/2022","14,600.0","14,600.0","14,600.0","14,050.0","41.99M","6.96%"
"11/30/2022","13,650.0","13,650.0","13,650.0","13,650.0","1.09M","6.64%"
"11/29/2022","12,800.0","11,200.0","12,800.0","11,200.0","94.10M","6.67%"
"11/28/2022","12,000.0","12,000.0","12,000.0","12,000.0","41.73M","-6.98%"
"11/25/2022","12,900.0","12,900.0","12,900.0","12,900.0","4.60M","-6.86%"
"11/24/2022","13,850.0","13,850.0","13,850.0","13,850.0","344.70K","-6.73%"
"11/23/2022","14,850.0","14,850.0","14,850.0","14,850.0","787.10K","-6.90%"
"11/22/2022","15,950.0","15,950.0","15,950.0","15,950.0","34.90M","-6.73%"
"11/21/2022","17,100.0","17,100.0","17,100.0","17,100.0","172.60K","-6.81%"
"11/18/2022","18,350.0","18,350.0","18,350.0","18,350.0","198.00K","-6.85%"
"11/17/2022","19,700.0","19,700.0","19,700.0","19,700.0","139.70K","-6.86%"
"11/16/2022","21,150.0","21,150.0","21,150.0","21,150.0","99.40K","-6.83%"
"11/15/2022","22,700.0","22,700.0","22,700.0","22,700.0","181.90K","-6.97%"
"11/14/2022","24,400.0","24,400.0","24,400.0","24,400.0","5.00K","-6.87%"
"11/11/2022","26,200.0","26,200.0","26,200.0","26,200.0","219.80K","-6.93%"
"11/10/2022","28,150.0","28,150.0","28,150.0","28,150.0","175.60K","-6.94%"
"11/09/2022","30,250.0","30,250.0","30,250.0","30,250.0","213.80K","-6.92%"
"11/08/2022","32,500.0","32,500.0","32,500.0","32,500.0","312.90K","-6.88%"
"11/07/2022","34,900.0","34,900.0","34,900.0","34,900.0","280.10K","-6.93%"
"11/04/2022","37,500.0","37,500.0","37,500.0","37,500.0","108.10K","-6.95%"
"11/03/2022","40,300.0","41,600.0","41,600.0","38,900.0","2.29M","-3.59%"
"11/02/2022","41,800.0","42,300.0","44,100.0","40,600.0","3.00M","-1.42%"
"11/01/2022","42,400.0","43,700.0","43,800.0","42,100.0","1.99M","-2.97%"
"10/31/2022","43,700.0","44,900.0","44,900.0","43,000.0","1.68M","-2.02%"
"10/28/2022","44,600.0","45,300.0","45,300.0","43,700.0","996.20K","-1.76%"
"10/27/2022","45,400.0","45,200.0","45,400.0","44,500.0","1.13M","-0.22%"
"10/26/2022","45,500.0","46,500.0","46,500.0","44,600.0","878.40K","-2.57%"
"10/25/2022","46,700.0","46,700.0","46,800.0","44,800.0","1.41M","-0.64%"
"10/24/2022","47,000.0","48,500.0","48,500.0","46,600.0","1.35M","-3.49%"
"10/21/2022","48,700.0","48,800.0","49,000.0","47,500.0","1.26M","-0.61%"
"10/20/2022","49,000.0","49,000.0","49,400.0","48,400.0","1.80M","-1.01%"
"10/19/2022","49,500.0","49,200.0","49,500.0","48,400.0","1.73M","-0.40%"
"10/18/2022","49,700.0","49,600.0","50,000.0","48,900.0","2.08M","0.20%"
"10/17/2022","49,600.0","48,800.0","49,600.0","47,800.0","2.02M","1.33%"
"10/14/2022","48,950.0","49,100.0","49,400.0","48,000.0","2.08M","0.00%"
"10/13/2022","48,950.0","48,700.0","49,100.0","47,400.0","1.86M","0.62%"
"10/12/2022","48,650.0","48,500.0","50,000.0","47,500.0","1.44M","-0.31%"
"10/11/2022","48,800.0","50,200.0","50,200.0","47,500.0","1.63M","-2.59%"
"10/10/2022","50,100.0","48,800.0","50,100.0","47,250.0","1.94M","1.21%"
"10/07/2022","49,500.0","50,300.0","50,600.0","47,600.0","2.03M","-2.56%"
"10/06/2022","50,800.0","51,100.0","51,200.0","50,000.0","1.68M","-0.97%"
"10/05/2022","51,300.0","51,600.0","51,700.0","50,900.0","1.81M","0.39%"
"10/04/2022","51,100.0","51,200.0","51,500.0","50,100.0","2.08M","0.20%"
"10/03/2022","51,000.0","50,700.0","51,100.0","49,700.0","1.87M","-0.20%"
"09/30/2022","51,100.0","50,700.0","51,200.0","50,300.0","1.82M","0.59%"
"09/29/2022","50,800.0","50,500.0","51,200.0","50,400.0","1.75M","0.99%"
