"Date","Price","Open","High","Low","Vol.","Change %"
"12/20/2022","22,000.0","22,450.0","22,450.0","21,250.0","9.97M","-2.22%"
"12/19/2022","22,500.0","22,950.0","23,300.0","22,500.0","7.14M","-2.17%"
"12/16/2022","23,000.0","22,750.0","23,550.0","22,500.0","4.77M","0.00%"
"12/15/2022","23,000.0","22,650.0","23,600.0","22,500.0","13.10M","0.88%"
"12/14/2022","22,800.0","23,400.0","23,400.0","22,600.0","5.66M","-0.87%"
"12/13/2022","23,000.0","22,600.0","23,000.0","22,500.0","9.69M","0.44%"
"12/12/2022","22,900.0","22,750.0","23,200.0","22,300.0","14.48M","1.78%"
"12/09/2022","22,500.0","22,200.0","23,000.0","21,800.0","13.27M","2.27%"
"12/08/2022","22,000.0","21,350.0","22,400.0","20,800.0","20.80M","5.01%"
"12/07/2022","20,950.0","21,500.0","21,800.0","20,750.0","8.89M","-3.01%"
"12/06/2022","21,600.0","23,000.0","23,150.0","21,600.0","11.61M","-6.70%"
"12/05/2022","23,150.0","23,200.0","24,000.0","22,950.0","16.15M","1.54%"
"12/02/2022","22,800.0","21,500.0","22,800.0","21,200.0","8.25M","4.59%"
"12/01/2022","21,800.0","22,350.0","22,750.0","21,600.0","15.16M","-0.91%"
"11/30/2022","22,000.0","21,700.0","22,500.0","20,850.0","12.99M","2.33%"
"11/29/2022","21,500.0","21,300.0","21,600.0","20,700.0","9.29M","2.38%"
"11/28/2022","21,000.0","20,500.0","21,300.0","20,050.0","12.70M","3.45%"
"11/25/2022","20,300.0","20,200.0","20,350.0","19,750.0","3.04M","1.50%"
"11/24/2022","20,000.0","20,100.0","20,250.0","19,200.0","4.81M","0.00%"
"11/23/2022","20,000.0","20,350.0","20,800.0","19,900.0","2.89M","-3.15%"
"11/22/2022","20,650.0","20,500.0","21,200.0","20,150.0","5.49M","0.24%"
"11/21/2022","20,600.0","20,700.0","20,700.0","20,000.0","3.20M","0.00%"
"11/18/2022","20,600.0","20,600.0","20,900.0","20,150.0","2.04M","-1.20%"
"11/17/2022","20,850.0","21,300.0","21,500.0","20,450.0","5.23M","0.00%"
"11/16/2022","20,850.0","18,750.0","21,000.0","18,600.0","5.54M","4.77%"
"11/15/2022","19,900.0","19,400.0","19,900.0","18,350.0","5.35M","1.02%"
"11/14/2022","19,700.0","19,500.0","19,750.0","19,050.0","3.21M","-1.01%"
"11/11/2022","19,900.0","20,500.0","20,500.0","19,200.0","3.74M","0.00%"
"11/10/2022","19,900.0","20,050.0","20,100.0","19,000.0","2.99M","-1.49%"
"11/09/2022","20,200.0","20,700.0","21,000.0","20,100.0","2.80M","-1.46%"
"11/08/2022","20,500.0","19,700.0","20,700.0","19,500.0","4.24M","1.99%"
