"Date","Price","Open","High","Low","Vol.","Change %"
"12/16/2022","18,269.00","18,319.10","18,440.95","18,255.15","277.65M","-0.79%"
"12/15/2022","18,414.90","18,614.40","18,652.90","18,387.70","183.13B","-1.32%"
"12/14/2022","18,660.30","18,671.25","18,696.10","18,632.90","208.03B","0.28%"
"12/13/2022","18,608.00","18,524.40","18,617.25","18,490.20","187.59B","0.60%"
"12/12/2022","18,497.15","18,402.15","18,521.55","18,345.70","193.88B","0.00%"
"12/09/2022","18,496.60","18,662.40","18,664.70","18,410.10","215.84B","-0.61%"
"12/08/2022","18,609.35","18,570.85","18,625.00","18,536.95","202.81B","0.26%"
"12/07/2022","18,560.50","18,638.85","18,668.30","18,528.40","200.50B","-0.44%"
"12/06/2022","18,642.75","18,600.65","18,654.90","18,577.90","217.78B","-0.31%"
"12/05/2022","18,701.05","18,719.55","18,728.60","18,591.35","288.39B","0.03%"
"12/02/2022","18,696.10","18,752.40","18,781.95","18,639.20","254.40B","-0.62%"
"12/01/2022","18,812.50","18,871.95","18,887.60","18,778.20","324.96B","0.29%"
"11/30/2022","18,758.35","18,625.70","18,816.05","18,616.55","345.64B","0.75%"
"11/29/2022","18,618.05","18,552.45","18,678.10","18,552.15","195.26B","0.30%"
"11/28/2022","18,562.75","18,430.55","18,614.25","18,365.60","206.47B","0.27%"
"11/25/2022","18,512.75","18,528.45","18,534.90","18,445.10","205.88B","0.16%"
"11/24/2022","18,484.10","18,326.10","18,529.70","18,294.25","204.04B","1.19%"
"11/23/2022","18,267.25","18,325.20","18,325.40","18,246.00","178.79B","0.13%"
"11/22/2022","18,244.20","18,179.15","18,261.85","18,137.70","177.68B","0.46%"
"11/21/2022","18,159.95","18,246.40","18,262.30","18,133.35","213.79B","-0.81%"
"11/18/2022","18,307.65","18,382.95","18,394.60","18,209.80","198.79B","-0.20%"
"11/17/2022","18,343.90","18,358.70","18,417.60","18,312.95","200.51B","-0.36%"
"11/16/2022","18,409.65","18,398.25","18,442.15","18,344.15","219.27B","0.03%"
"11/15/2022","18,403.40","18,362.75","18,427.95","18,282.00","250.93B","0.41%"
"11/14/2022","18,329.15","18,376.40","18,399.45","18,311.40","301.40B","-0.11%"
"11/11/2022","18,349.70","18,272.35","18,362.30","18,259.35","378.47B","1.78%"
"11/10/2022","18,028.20","18,044.35","18,103.10","17,969.40","256.45B","-0.71%"
"11/09/2022","18,157.00","18,288.25","18,296.40","18,117.50","307.16B","-0.25%"
"11/07/2022","18,202.80","18,211.75","18,255.50","18,064.75","314.76B","0.47%"
"11/04/2022","18,117.15","18,053.40","18,135.10","18,017.15","267.94B","0.36%"
"11/03/2022","18,052.70","17,968.35","18,106.30","17,959.20","212.97B","-0.17%"
"11/02/2022","18,082.85","18,177.90","18,178.75","18,048.65","270.88B","-0.34%"
"11/01/2022","18,145.40","18,130.70","18,175.80","18,060.15","349.92B","0.74%"
"10/31/2022","18,012.20","17,910.20","18,022.80","17,899.90","227.17B","1.27%"
"10/28/2022","17,786.80","17,756.40","17,838.90","17,723.70","250.03B","0.28%"
"10/27/2022","17,736.95","17,771.40","17,783.90","17,654.50","324.65B","0.46%"
"10/25/2022","17,656.35","17,808.30","17,811.50","17,637.00","251.36B","-0.42%"
"10/24/2022","17,730.75","17,736.35","17,777.55","17,707.40","45.03B","0.88%"
"10/21/2022","17,576.30","17,622.85","17,670.15","17,520.75","277.70B","0.07%"
"10/20/2022","17,563.95","17,423.10","17,584.15","17,421.00","249.60B","0.30%"
"10/19/2022","17,512.25","17,568.15","17,607.60","17,472.85","210.48B","0.14%"
"10/18/2022","17,486.95","17,438.75","17,527.80","17,434.05","239.49B","1.01%"
"10/17/2022","17,311.80","17,144.80","17,328.55","17,098.55","212.22B","0.73%"
"10/14/2022","17,185.70","17,322.30","17,348.55","17,169.75","227.00B","1.01%"
"10/13/2022","17,014.35","17,087.35","17,112.35","16,956.95","266.44B","-0.64%"
"10/12/2022","17,123.60","17,025.55","17,142.35","16,960.05","256.04B","0.82%"
"10/11/2022","16,983.55","17,256.05","17,261.80","16,950.30","282.62B","-1.49%"
"10/10/2022","17,241.00","17,094.35","17,280.15","17,064.70","234.01B","-0.43%"
"10/07/2022","17,314.65","17,287.20","17,337.35","17,216.95","216.27B","-0.10%"
"10/06/2022","17,331.80","17,379.25","17,428.80","17,315.65","265.45B","0.33%"
"10/04/2022","17,274.30","17,147.45","17,287.30","17,117.30","226.02B","2.29%"
"10/03/2022","16,887.35","17,102.10","17,114.65","16,855.55","278.37B","-1.21%"
"09/30/2022","17,094.35","16,798.05","17,187.10","16,747.70","376.11B","1.64%"
"09/29/2022","16,818.10","16,993.60","17,026.05","16,788.60","340.03B","-0.24%"
"09/28/2022","16,858.60","16,870.55","17,037.60","16,820.40","323.92B","-0.87%"
"09/27/2022","17,007.40","17,110.90","17,176.45","16,942.35","359.90B","-0.05%"
"09/26/2022","17,016.30","17,156.30","17,196.40","16,978.30","492.00B","-1.80%"
"09/23/2022","17,327.35","17,593.85","17,642.15","17,291.65","390.75B","-1.72%"
"09/22/2022","17,629.80","17,609.65","17,722.75","17,532.45","284.09B","-0.50%"
"09/21/2022","17,718.35","17,766.35","17,838.70","17,663.60","245.53B","-0.55%"
"09/20/2022","17,816.25","17,770.40","17,919.30","17,744.40","263.10B","1.10%"
"09/19/2022","17,622.25","17,540.65","17,667.20","17,429.70","258.33B","0.52%"
"09/16/2022","17,530.85","17,796.80","17,820.05","17,497.25","468.46B","-1.94%"
"09/15/2022","17,877.40","18,046.35","18,096.15","17,861.50","289.64B","-0.70%"
"09/14/2022","18,003.75","17,771.15","18,091.55","17,771.15","365.87B","-0.37%"
"09/13/2022","18,070.05","18,044.45","18,088.30","18,015.45","259.92B","0.75%"
"09/12/2022","17,936.35","17,890.85","17,980.55","17,889.15","228.24B","0.58%"
"09/09/2022","17,833.35","17,923.35","17,925.95","17,786.00","270.30B","0.19%"
"09/08/2022","17,798.75","17,748.15","17,807.65","17,691.95","279.85B","0.99%"
